,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price,property_price_currency,property_price_amount
2742,4 bedroom apartment for sale in Lavington,"lavington, Lavington, Dagoretti North",230 m²,4,5,Spacious 4 bedrooms apartment for sale in Lavi...,Kenya Classic Homes,"KSh 16,000,000",KSh,16000000.0
2743,2000 m² commercial land for sale in Waiyaki Way,"Waiyaki Way, Westlands",2000 m²,-,-,"WESTLANDS, 0.5 ACRE OFF WAIYAKI WAY (2ND ROW),...",Splendor Holdings,"KSh 180,000,000",KSh,180000000.0
2744,1 bedroom apartment for sale in Kileleshwa,"KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North",40 m²,1,1,AFFORDABLE 1 BEDROOM FOR SALE,Round The Clock Homes,"KSh 4,500,000",KSh,4500000.0
2745,5 bedroom house for sale in Runda,"Pan Africa Avenue, Runda, Westlands",-,5,4,HOUSE FOR SALE IN RUNDA PAN AFRICA AVENUE 85M N...,Orion Valuers,"KSh 85,000,000",KSh,85000000.0
2746,5 bedroom villa for sale in Karen,"32860, Bomas of kenya, Karen, Langata",495 m²,5,5,Villa for Sale in Karen,-,"KSh 150,000,000",KSh,150000000.0
2748,4 bedroom townhouse for sale in Ridgeways,"Ridgeways, Ridgeways",-,4,5,Impressive 4 bedroom townhouse for sale in Ridg...,Ge-Mac Property Solutions,"KSh 45,000,000",KSh,45000000.0
2749,4 bedroom house for sale in Karen,"41, Langata Road, Karen, Langata",2024 m²,4,4,PEACEFUL DWELLINGS,Twinrocks Property Managers,"KSh 63,000,000",KSh,63000000.0
2750,2 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",169 m²,2,3,spacious 2 bedrooms apartment +dsq for sale in...,Kenya Classic Homes,"KSh 10,000,000",KSh,10000000.0
2751,7 bedroom house for sale in Runda,"Runda, Westlands",-,7,5,7 bedroom House For Sale in Runda.,Ring Kenya Ltd,"KSh 140,000,000",KSh,140000000.0
2752,2 bedroom apartment for sale in Kileleshwa,"KILELESHWA, Kileleshwa, Dagoretti North",95 m²,2,2,2 BEDROOM FOR SALE,Round The Clock Homes,"KSh 9,500,000",KSh,9500000.0
2753,4 bedroom townhouse for sale in North Muthaiga,"1029w, Balozi Estate, Muthaiga North, North Muthaiga, Muthaiga",3500 ft²,4,5,Architecturally designed four bedroom luxurious...,Ace Realtors Limited,"KSh 28,000,000",KSh,28000000.0
2754,"5 bedroom villa for sale in Loresho
 ","Loresho ridge, Loresho, Westlands",-,5,5,Newly Built exclusive 5 bedroom for sale loresh...,Prince Capital Properties Ltd,"KSh 102,500,000",KSh,102500000.0
2755,5 bedroom townhouse for sale in Runda,"Runda Rd, Runda, Westlands",-,5,6,Impeccable 5 bedroom standalone townhouse for s...,Sky Limits Ventures,"KSh 180,000,000",KSh,180000000.0
2756,5 bedroom house for sale in Nyari,"Nyari, Westlands",2024 m²,5,5,NYARI:5BEDROOM ALL ENSUITE DOUBLE STOREY ON 0.5...,Jubilee Real Estate,"KSh 100,000,000",KSh,100000000.0
2757,1 ac residential land for sale in Nairobi Hardy,"Kikenni, Mukoma, Nairobi Hardy, Langata",1 ac,5,6,ACRE PLOT ON MUKOMA ESTATE - KAREN HARDY,Second Exodus Realtors,"KSh 50,000,000",KSh,50000000.0
2758,4 bedroom house for sale in Thika Road,"Juja, Juja, Thika Road, Thika Road",210 m²,4,5,FALCON HILL ESTATE,Shila Homes,"KSh 6,900,000",KSh,6900000.0
2759,6 bedroom house for sale in Lavington,"Lavington, Dagoretti North",-,6,5,6 Bedroom Townhouse For Sale & Rent In Lavingto...,Coral Property International Ltd,"KSh 82,000,000",KSh,82000000.0
2760,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,4,3 bedroom plus sq to let in kilimani,Best of Homes,"KSh 80,000",KSh,80000.0
2761,4 bedroom house for sale in Karen,"Karen, Langata",-,4,4,4 Bedfroom House for Sale in Kerarapon Drive o...,Twinrocks Property Managers,"KSh 66,500,000",KSh,66500000.0
2762,5 bedroom townhouse for sale in Karen,"1029w, Karen Near the Hub, Karen, Langata",6000 ft²,5,6,Five bedroom home loaded with remarkable archit...,Ace Realtors Limited,"KSh 160,000,000",KSh,160000000.0
2763,5 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",4800 ft²,5,6,NEW & CONTEMPORARY 5 BEDROOM TOWNHOUSE IN LAVIN...,A1 Properties Ltd,"KSh 70,000,000",KSh,70000000.0
2764,5 bedroom house for sale in Loresho,"The Haven, Loresho, Westlands",725 m²,5,6,The Haven - Luxury 4-5 Bedroom Homes For Sale I...,Coral Property International Ltd,"KSh 102,500,000",KSh,102500000.0
2765,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",100 m²,2,2,Brand new and Exquisite 2 bedroom apartment for...,Wilnas Property Ltd,"KSh 7,500,000",KSh,7500000.0
